                                                                                                                             
{'loss': 6.7876, 'grad_norm': 0.7734375, 'learning_rate': 0.00012216066481994458, 'epoch': 0.02}
{'loss': 6.7903, 'grad_norm': 0.921875, 'learning_rate': 0.00012299168975069252, 'epoch': 0.02}
{'loss': 6.8487, 'grad_norm': 0.83203125, 'learning_rate': 0.00012382271468144043, 'epoch': 0.02}
{'loss': 6.7338, 'grad_norm': 0.85546875, 'learning_rate': 0.00012465373961218835, 'epoch': 0.02}
{'loss': 6.7079, 'grad_norm': 0.8515625, 'learning_rate': 0.0001254847645429363, 'epoch': 0.02}
{'loss': 6.7458, 'grad_norm': 0.83203125, 'learning_rate': 0.00012631578947368418, 'epoch': 0.02}
{'loss': 6.5508, 'grad_norm': 0.875, 'learning_rate': 0.00012714681440443212, 'epoch': 0.02}
{'loss': 6.8691, 'grad_norm': 0.98828125, 'learning_rate': 0.00012797783933518004, 'epoch': 0.02}
{'loss': 6.5406, 'grad_norm': 0.7421875, 'learning_rate': 0.00012880886426592798, 'epoch': 0.02}
{'loss': 6.6779, 'grad_norm': 0.765625, 'learning_rate': 0.0001296398891966759, 'epoch': 0.02}
{'loss': 6.6768, 'grad_norm': 0.74609375, 'learning_rate': 0.0001304709141274238, 'epoch': 0.02}
{'loss': 6.8205, 'grad_norm': 0.7265625, 'learning_rate': 0.00013130193905817173, 'epoch': 0.02}
{'loss': 6.7631, 'grad_norm': 0.796875, 'learning_rate': 0.00013213296398891967, 'epoch': 0.02}
{'loss': 6.6613, 'grad_norm': 0.875, 'learning_rate': 0.00013296398891966758, 'epoch': 0.02}
{'loss': 6.7517, 'grad_norm': 0.80078125, 'learning_rate': 0.0001337950138504155, 'epoch': 0.02}
{'loss': 6.7932, 'grad_norm': 0.73828125, 'learning_rate': 0.00013462603878116342, 'epoch': 0.02}
{'loss': 6.741, 'grad_norm': 0.7890625, 'learning_rate': 0.00013545706371191136, 'epoch': 0.02}
{'loss': 6.6499, 'grad_norm': 0.8046875, 'learning_rate': 0.00013628808864265927, 'epoch': 0.02}
{'loss': 6.7946, 'grad_norm': 0.71484375, 'learning_rate': 0.0001371191135734072, 'epoch': 0.02}
