  0%|                                                                                                 | 0/2195 [00:00<?, ?it/s]WARNING:transformers_modules.GPTNeoX-160m.modeling_custom:`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`...
                                                                                                                               
{'loss': 6.3949, 'grad_norm': 0.6796875, 'learning_rate': 0.0003163636363636363, 'epoch': 0.05}
{'loss': 6.4172, 'grad_norm': 0.6953125, 'learning_rate': 0.00031909090909090906, 'epoch': 0.05}
{'loss': 6.123, 'grad_norm': 0.6171875, 'learning_rate': 0.0003218181818181818, 'epoch': 0.05}
{'loss': 6.325, 'grad_norm': 0.58984375, 'learning_rate': 0.00032454545454545453, 'epoch': 0.05}
{'loss': 6.2579, 'grad_norm': 0.66015625, 'learning_rate': 0.0003272727272727272, 'epoch': 0.05}
{'loss': 6.3005, 'grad_norm': 0.57421875, 'learning_rate': 0.00033, 'epoch': 0.06}
{'loss': 6.3579, 'grad_norm': 0.60546875, 'learning_rate': 0.00033272727272727273, 'epoch': 0.06}
{'loss': 6.1712, 'grad_norm': 0.625, 'learning_rate': 0.0003354545454545454, 'epoch': 0.06}
{'loss': 6.2276, 'grad_norm': 0.56640625, 'learning_rate': 0.00033818181818181815, 'epoch': 0.06}
{'loss': 6.2853, 'grad_norm': 0.6328125, 'learning_rate': 0.00034090909090909094, 'epoch': 0.06}
{'loss': 6.3335, 'grad_norm': 0.55859375, 'learning_rate': 0.0003436363636363636, 'epoch': 0.06}
{'loss': 6.3878, 'grad_norm': 0.54296875, 'learning_rate': 0.00034636363636363635, 'epoch': 0.06}
{'loss': 6.2187, 'grad_norm': 0.58984375, 'learning_rate': 0.00034909090909090903, 'epoch': 0.06}
{'loss': 6.2107, 'grad_norm': 0.5390625, 'learning_rate': 0.00035181818181818177, 'epoch': 0.06}
{'loss': 6.3029, 'grad_norm': 0.54296875, 'learning_rate': 0.00035454545454545455, 'epoch': 0.06}
{'loss': 6.1796, 'grad_norm': 0.72265625, 'learning_rate': 0.00035727272727272723, 'epoch': 0.06}
