  0%|                                                                               | 0/10962 [00:00<?, ?it/s]WARNING:transformers_modules.GPTNeoX-160m.modeling_custom:`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`...
                                                                                                              
{'loss': 7.4372, 'grad_norm': 1.390625, 'learning_rate': 7.547857793983592e-05, 'epoch': 0.01}
{'loss': 7.4231, 'grad_norm': 1.0234375, 'learning_rate': 7.602552415679123e-05, 'epoch': 0.01}
{'loss': 7.4891, 'grad_norm': 0.9609375, 'learning_rate': 7.657247037374657e-05, 'epoch': 0.01}
{'loss': 7.7169, 'grad_norm': 0.9921875, 'learning_rate': 7.711941659070191e-05, 'epoch': 0.01}
{'loss': 7.4518, 'grad_norm': 0.9765625, 'learning_rate': 7.766636280765723e-05, 'epoch': 0.01}
{'loss': 7.4979, 'grad_norm': 0.81640625, 'learning_rate': 7.821330902461257e-05, 'epoch': 0.01}
{'loss': 7.4919, 'grad_norm': 0.69140625, 'learning_rate': 7.876025524156791e-05, 'epoch': 0.01}
{'loss': 7.3356, 'grad_norm': 0.90234375, 'learning_rate': 7.930720145852325e-05, 'epoch': 0.01}
{'loss': 7.3891, 'grad_norm': 0.828125, 'learning_rate': 7.985414767547856e-05, 'epoch': 0.01}
{'loss': 7.4333, 'grad_norm': 0.70703125, 'learning_rate': 8.04010938924339e-05, 'epoch': 0.01}
{'loss': 7.52, 'grad_norm': 0.89453125, 'learning_rate': 8.094804010938924e-05, 'epoch': 0.01}
{'loss': 7.4469, 'grad_norm': 0.78515625, 'learning_rate': 8.149498632634456e-05, 'epoch': 0.01}
{'loss': 7.393, 'grad_norm': 0.84375, 'learning_rate': 8.20419325432999e-05, 'epoch': 0.01}
{'loss': 7.3748, 'grad_norm': 0.8828125, 'learning_rate': 8.258887876025524e-05, 'epoch': 0.01}
{'loss': 7.4544, 'grad_norm': 0.61328125, 'learning_rate': 8.313582497721058e-05, 'epoch': 0.01}
{'loss': 7.4188, 'grad_norm': 0.78515625, 'learning_rate': 8.368277119416589e-05, 'epoch': 0.01}
{'loss': 7.3562, 'grad_norm': 0.85546875, 'learning_rate': 8.422971741112123e-05, 'epoch': 0.01}
{'loss': 7.3583, 'grad_norm': 0.73828125, 'learning_rate': 8.477666362807657e-05, 'epoch': 0.01}
{'loss': 7.4331, 'grad_norm': 0.80859375, 'learning_rate': 8.532360984503189e-05, 'epoch': 0.01}
{'loss': 7.278, 'grad_norm': 1.1328125, 'learning_rate': 8.587055606198723e-05, 'epoch': 0.01}
{'loss': 7.3145, 'grad_norm': 0.96875, 'learning_rate': 8.641750227894257e-05, 'epoch': 0.01}
{'loss': 7.3937, 'grad_norm': 0.85546875, 'learning_rate': 8.696444849589791e-05, 'epoch': 0.01}
{'loss': 7.3424, 'grad_norm': 0.64453125, 'learning_rate': 8.751139471285322e-05, 'epoch': 0.01}
{'loss': 7.3582, 'grad_norm': 0.87109375, 'learning_rate': 8.805834092980856e-05, 'epoch': 0.01}
{'loss': 7.3151, 'grad_norm': 1.046875, 'learning_rate': 8.86052871467639e-05, 'epoch': 0.01}
{'loss': 7.202, 'grad_norm': 0.703125, 'learning_rate': 8.915223336371923e-05, 'epoch': 0.01}
{'loss': 7.4393, 'grad_norm': 0.984375, 'learning_rate': 8.969917958067456e-05, 'epoch': 0.01}
{'loss': 7.1362, 'grad_norm': 1.03125, 'learning_rate': 9.02461257976299e-05, 'epoch': 0.02}
{'loss': 7.3775, 'grad_norm': 0.671875, 'learning_rate': 9.079307201458522e-05, 'epoch': 0.02}
{'loss': 7.266, 'grad_norm': 0.8125, 'learning_rate': 9.134001823154055e-05, 'epoch': 0.02}
{'loss': 7.2852, 'grad_norm': 0.671875, 'learning_rate': 9.188696444849589e-05, 'epoch': 0.02}
{'loss': 7.2506, 'grad_norm': 0.8359375, 'learning_rate': 9.243391066545122e-05, 'epoch': 0.02}
{'loss': 7.2662, 'grad_norm': 0.73046875, 'learning_rate': 9.298085688240656e-05, 'epoch': 0.02}
{'loss': 7.3318, 'grad_norm': 0.734375, 'learning_rate': 9.352780309936189e-05, 'epoch': 0.02}
{'loss': 7.259, 'grad_norm': 0.77734375, 'learning_rate': 9.407474931631723e-05, 'epoch': 0.02}
{'loss': 7.1207, 'grad_norm': 0.92578125, 'learning_rate': 9.462169553327255e-05, 'epoch': 0.02}
{'loss': 7.1443, 'grad_norm': 0.71875, 'learning_rate': 9.516864175022788e-05, 'epoch': 0.02}
{'loss': 7.1818, 'grad_norm': 0.8671875, 'learning_rate': 9.571558796718322e-05, 'epoch': 0.02}
{'loss': 7.2758, 'grad_norm': 1.015625, 'learning_rate': 9.626253418413855e-05, 'epoch': 0.02}
{'loss': 7.1426, 'grad_norm': 0.7578125, 'learning_rate': 9.680948040109389e-05, 'epoch': 0.02}
{'loss': 7.1429, 'grad_norm': 0.96484375, 'learning_rate': 9.735642661804922e-05, 'epoch': 0.02}
{'loss': 7.117, 'grad_norm': 0.82421875, 'learning_rate': 9.790337283500456e-05, 'epoch': 0.02}
{'loss': 7.115, 'grad_norm': 0.77734375, 'learning_rate': 9.845031905195988e-05, 'epoch': 0.02}
{'loss': 6.8972, 'grad_norm': 0.78125, 'learning_rate': 9.89972652689152e-05, 'epoch': 0.02}
{'loss': 7.0414, 'grad_norm': 0.6484375, 'learning_rate': 9.954421148587054e-05, 'epoch': 0.02}
{'loss': 6.9846, 'grad_norm': 0.8359375, 'learning_rate': 0.00010009115770282588, 'epoch': 0.02}
